DOI,Sample_ID,Subsample_ID,cleaned_material,material,material_ratio,Source,normalized_particle.L_concentration,corrected_concentration,material_particle.L_reported,material_particle.L_corrected
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,1.2,203781.168,0.048,8151.24672
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.9,152835.876,0.036,6113.43504
doi.org/10.1016/j.watres.2018.10.013,Axtell_SC_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Axtell_SC_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Axtell_SC_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Bacon_Rind_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Bear_Creek_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Deer_Creek_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,GR_Bacon_Rind_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_6A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Middle_Cottonwood_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Middle_Cottonwood_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Porcupine_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Porcupine_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,Taylor_Fork_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.8,135854.112,0.032,5434.16448
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.7,118872.348,0.028,4754.89392
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.7,118872.348,0.028,4754.89392
doi.org/10.1016/j.watres.2018.10.013,Big_Sky_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,Middle_Cottonwood_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,Middle_Cottonwood_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,Spanish_Creek_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,Storm_Castle_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.6,101890.584,0.024,4075.62336
doi.org/10.1016/j.watres.2018.10.013,Bear_Creek_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0.1,16981.764,0.004,679.27056
doi.org/10.1016/j.watres.2018.10.013,Axtell_SC_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Axtell_SC_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Axtell_SC_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Axtell_SC_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Axtell_SC_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Bacon_Rind_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Big_Sky_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Big_Sky_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Deer_Creek_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Deer_Creek_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Deer_Creek_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Axtell_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Axtell_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Axtell_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Axtell_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Axtell_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Axtell_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Bacon_Rind_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Bacon_Rind_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Bacon_Rind_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_5A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_5B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Black_Butte_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Canyon_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_5A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_6A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_6B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_5A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_6B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Hellroaring_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Hellroaring_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Hellroaring_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Middle_Cottonwood_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Middle_Cottonwood_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Porcupine_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Porcupine_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Porcupine_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Porcupine_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Sourdough_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Sourdough_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Spanish_Creek_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Storm_Castle_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Storm_Castle_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Storm_Castle_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Storm_Castle_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Taylor_Fork_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,Taylor_Fork_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,PAN,acrylic.1,0.04,freshwatersurface,0,0,0,0
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,11.5,1952902.86,0.23,39058.0572
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,5.1,866069.964,0.102,17321.39928
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,4.9,832106.436,0.098,16642.12872
doi.org/10.1016/j.watres.2018.10.013,GR_Canyon_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,4.8,815124.672,0.096,16302.49344
doi.org/10.1016/j.watres.2018.10.013,GR_Gallatin_Gateway_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,4.2,713234.088,0.084,14264.68176
doi.org/10.1016/j.watres.2018.10.013,Taylor_Fork_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,4,679270.56,0.08,13585.4112
doi.org/10.1016/j.watres.2018.10.013,GR_Canyon_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,3.9,662288.796,0.078,13245.77592
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,3.8,645307.032,0.076,12906.14064
doi.org/10.1016/j.watres.2018.10.013,GR_Black_Butte_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,3.8,645307.032,0.076,12906.14064
doi.org/10.1016/j.watres.2018.10.013,Hellroaring_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,3.8,645307.032,0.076,12906.14064
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,3.6,611343.504,0.072,12226.87008
doi.org/10.1016/j.watres.2018.10.013,Deer_Creek_3A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,3.1,526434.684,0.062,10528.69368
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_5B|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,3.1,526434.684,0.062,10528.69368
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,3.1,526434.684,0.062,10528.69368
doi.org/10.1016/j.watres.2018.10.013,GR_Manhattan_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.7,458507.628,0.054,9170.15256
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.7,458507.628,0.054,9170.15256
doi.org/10.1016/j.watres.2018.10.013,Deer_Creek_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.5,424544.1,0.05,8490.882
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.5,424544.1,0.05,8490.882
doi.org/10.1016/j.watres.2018.10.013,GR_Bighorn_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.4,407562.336,0.048,8151.24672
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_2A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.4,407562.336,0.048,8151.24672
doi.org/10.1016/j.watres.2018.10.013,GR_Cinnamon_4A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.4,407562.336,0.048,8151.24672
doi.org/10.1016/j.watres.2018.10.013,GR_Daily_Creek_5A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.4,407562.336,0.048,8151.24672
doi.org/10.1016/j.watres.2018.10.013,GR_Logan_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.4,407562.336,0.048,8151.24672
doi.org/10.1016/j.watres.2018.10.013,North_Cottonwood_4B|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.4,407562.336,0.048,8151.24672
doi.org/10.1016/j.watres.2018.10.013,Flathead_Pass_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.3,390580.572,0.046,7811.61144
doi.org/10.1016/j.watres.2018.10.013,GR_Gallatin_Gateway_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.3,390580.572,0.046,7811.61144
doi.org/10.1016/j.watres.2018.10.013,Porcupine_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.3,390580.572,0.046,7811.61144
doi.org/10.1016/j.watres.2018.10.013,Porcupine_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,2.1,356617.044,0.042,7132.34088
doi.org/10.1016/j.watres.2018.10.013,Storm_Castle_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,nonpolymeric,wool,0.02,freshwatersurface,1.8,305671.752,0.036,6113.43504
